pi_first_name,pi_last_name,school,state,city,website,postdoc_wanted,postdoc_ads_added_date,postdoc_ads_expiration_date,postdoc_ads_link,research_interest,source,institute_carnegie_classification
Ming,Chen,Auburn University,Alabama,Auburn,https://www.auburn.edu/cosam/faculty/chemistry/chen/research/index.htm,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Rashad,Karimov,Auburn University,Alabama,Auburn,https://karimovrashad.wixsite.com/website,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Bradley,Merner,Auburn University,Alabama,Auburn,http://ww25.mernergroup.com/?subid1=20220111-1919-10c5-925b-169f90270c84,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Stewart,Schneller,Auburn University,Alabama,Auburn,http://wp.auburn.edu/schnest/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Kevin,Shaughnessy,University of Alabama,Alabama,Tuscaloosa,https://kshaughnessy.people.ua.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Timothy,Snowden,University of Alabama,Alabama,Tuscaloosa,https://chemistry.ua.edu/people/timothy-s-snowden/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Sadanandan,Velu,"University of Alabama, Birmingham",Alabama,Birmingham,http://scholars.uab.edu/display/svelu,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Pengfei,Wang,"University of Alabama, Birmingham",Alabama,Birmingham,http://scholars.uab.edu/display/wangp,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Laura,Ackerman,Arizona State University,Arizona,Tempe,https://search.asu.edu/profile/3509272,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Kyle,Biegasiewicz,Arizona State University,Arizona,Tempe,https://search.asu.edu/profile/3503942,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
John,Jewett,University of Arizona,Arizona,Tuscson,https://sites.google.com/site/jcjewettlab/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Eugene,Mash,University of Arizona,Arizona,Tuscson,https://cbc.arizona.edu/eugene-mash,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Dominic,McGrath,University of Arizona,Arizona,Tuscson,https://cbc.arizona.edu/dominic-mcgrath,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Jon,Njardarson,University of Arizona,Arizona,Tuscson,https://njardarson.lab.arizona.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Robin,Polt,University of Arizona,Arizona,Tuscson,https://cbc.arizona.edu/robin-polt,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Michael,Taylor,University of Arizona,Arizona,Tuscson,https://www.taylorresearchgroup.org/,,,,https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/211346,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Matt,McIntosh,University of Arkansas,Arkansas,Fayatteville,https://fulbright.uark.edu/departments/chemistry/directory/index/uid/mcintosh/name/Matt-McIntosh/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Susanne,Striegler,University of Arkansas,Arkansas,Fayatteville,https://sstriegl.hosted.uark.edu/index.html,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Nan,Zheng,University of Arkansas,Arkansas,Fayatteville,http://www.zhenggroup.org,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Gregory,Fu,California Institute of Technology,California,Pasadena,http://fugroup.caltech.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Hosea,Nelson,California Institute of Technology,California,Pasadena,http://www.thenelsonlab.com/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Sarah,Reisman,California Institute of Technology,California,Pasadena,http://reismangroup.caltech.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Brian,Stoltz,California Institute of Technology,California,Pasadena,https://www.stoltz.caltech.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
David,Horne,City of Hope,California,,https://www.cityofhope.org/people/horne-david,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Douglas,Grotjahn,San Diego State University,California,San Diego,http://grotjahngroup.org/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Phil,Baran,Scripps Reasearch Institute,California,La Jolla,https://baranlab.org,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Donna,Blackmond,Scripps Reasearch Institute,California,La Jolla,https://www.scripps.edu/blackmond/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Dale,Boger,Scripps Reasearch Institute,California,La Jolla,https://www.scripps.edu/boger/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Keary,Engle,Scripps Reasearch Institute,California,La Jolla,https://englelab.com/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Kim,Janda,Scripps Reasearch Institute,California,La Jolla,https://www.scripps.edu/janda/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
K. Barry,Sharpless,Scripps Reasearch Institute,California,La Jolla,https://www.scripps.edu/sharpless/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Ryan,Shenvi,Scripps Reasearch Institute,California,La Jolla,https://www.shenvilab.org/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Chi Huey,Wong,Scripps Reasearch Institute,California,La Jolla,https://www.scripps.edu/wong/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Peng,Wu,Scripps Reasearch Institute,California,La Jolla,https://www.scripps.edu/pwu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Jin-Quan,Yu,Scripps Reasearch Institute,California,La Jolla,https://www.scripps.edu/yu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Carolyn,Bertozzi,Stanford University,California,Stanford,https://bertozzigroup.stanford.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Justin Du,Bois,Stanford University,California,Stanford,https://duboislab.stanford.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Noah,Burns,Stanford University,California,Stanford,http://web.stanford.edu/group/burnslab/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Barry M.,Trost,Stanford University,California,Stanford,https://web.stanford.edu/group/bmtrost/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Paul,Wender,Stanford University,California,Stanford,https://web.stanford.edu/group/pawender/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
John,Hartwig,"University of California, Berkeley",California,Berkeley,http://www.cchem.berkeley.edu/jfhgrp/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Thomas,Maimone,"University of California, Berkeley",California,Berkeley,http://www.cchem.berkeley.edu/tjm/Lab_website/Home.html,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Richmond,Sarpong,"University of California, Berkeley",California,Berkeley,http://www.cchem.berkeley.edu/rsgrp/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Dean,Toste,"University of California, Berkeley",California,Berkeley,http://www.cchem.berkeley.edu/toste/index.html,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Peter,Beal,"University of California, Davis",California,Davis,https://beal.faculty.ucdavis.edu,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Annaliese,Franz,"University of California, Davis",California,Davis,http://chemgroups.ucdavis.edu/%7Efranz/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Jaquelyn,Gervay-Hague,"University of California, Davis",California,Davis,https://chemistry.ucdavis.edu/people/jacquelyn-gervay-hague,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Mark,Kurth,"University of California, Davis",California,Davis,https://chemistry.ucdavis.edu/people/mark-kurth,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Mark,Mascal,"University of California, Davis",California,Davis,http://chemgroups.ucdavis.edu/~mascal/,,,,http://chemgroups.ucdavis.edu/~mascal/,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
David,Olson,"University of California, Davis",California,Davis,https://www.olsonlab.org/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Cody,Pitts,"University of California, Davis",California,Davis,https://www.codyrosspittslab.com,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Jared,Shaw,"University of California, Davis",California,Davis,https://shaw.faculty.ucdavis.edu,,,,https://shaw.faculty.ucdavis.edu/2021/10/20/opening-for-a-postdoctoral-researcher-2/,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Elizabeth,Bess,"University of California, Irvine",California,Irvine,https://www.besslab.com,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Suzanne,Blum,"University of California, Irvine",California,Irvine,https://blumgroupuci.squarespace.com/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Vy,Dong,"University of California, Irvine",California,Irvine,https://sites.google.com/uci.edu/vydonggroup,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Elizabeth,Jarvo,"University of California, Irvine",California,Irvine,https://sites.uci.edu/jarvogroup/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
James,Nowick,"University of California, Irvine",California,Irvine,https://www.chem.uci.edu/~jsnowick/groupweb/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Larry,Overman,"University of California, Irvine",California,Irvine,https://faculty.sites.uci.edu/overman/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Jenn,Prescher,"University of California, Irvine",California,Irvine,https://www.chem.uci.edu/~jpresche/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
