primary_investigator,school,institute_carnegie_classification,website,research_interest,postdoc_wanted,postdoc_ads_link,source
Kevin Shaughnessy,Alabama,,http://kshaughnessy.people.ua.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Timothy Snowden,Alabama,,https://chemistry.ua.edu/people/timothy-s-snowden/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Michael Jennings,Alabama,,https://chemistry.ua.edu/people/michael-p-jennings/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Pengfei Wang,Alabama – Birmingham,,http://scholars.uab.edu/display/wangp,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Sadanandan Velu,Alabama – Birmingham,,http://scholars.uab.edu/display/svelu,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Ming Chen,Auburn,,http://www.auburn.edu/cosam/faculty/chemistry/chen/research/index.htm,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Anne Gorden,Auburn,,http://www.auburn.edu/cosam/faculty/chemistry/gordena/index.htm,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Rashad Karimov,Auburn,,https://karimovrashad.wixsite.com/website,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Bradley Merner,Auburn,,https://www.mernergroup.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Stewart Schneller,Auburn,,http://wp.auburn.edu/schnest/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Eugene Mash,Arizona,,https://cbc.arizona.edu/faculty/eugene-mash,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Robin Polt,Arizona,,https://cbc.arizona.edu/faculty/robin-polt,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Dominic McGrath,Arizona,,https://cbc.arizona.edu/faculty/dominic-mcgrath,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jon Njardarson,Arizona,,https://njardarson.lab.arizona.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
John Jewett,Arizona,,https://sites.google.com/site/jcjewettlab/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Laura Ackerman,Arizona State,,https://isearch.asu.edu/profile/3509272,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Kyle Biegasiewicz,Arizona State,,https://isearch.asu.edu/profile/3503942,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Matt McIntosh,Arkansas,,https://fulbright.uark.edu/departments/chemistry/directory/index/uid/mcintosh/name/Matt-McIntosh/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Nan Zheng,Arkansas,,http://www.zhenggroup.org,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Susanne Striegler,Arkansas,,https://sstriegl.hosted.uark.edu/index.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Gregory Fu,Cal Tech,,http://fugroup.caltech.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Robert Grubbs,Cal Tech,,https://grubbsgroup.caltech.edu,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Sarah Reisman,Cal Tech,,http://reismangroup.caltech.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Brian Stoltz,Cal Tech,,http://www.stoltz.caltech.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Phil Baran,Scripps,,https://baranlab.org,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Donna Blackmond,Scripps,,https://www.scripps.edu/blackmond/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Dale Boger,Scripps,,http://www.scripps.edu/chem/boger/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Keary Engle,Scripps,,https://englelab.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Kim Janda,Scripps,,http://www.scripps.edu/chem/janda/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Hans Renata,Scripps,,https://renatalab.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
K. Barry Sharpless,Scripps,,http://www.scripps.edu/chem/sharpless/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Ryan Shenvi,Scripps,,http://www.scripps.edu/chem/shenvi/Front.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Chi Huey Wong,Scripps,,https://www.scripps.edu/wong/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Peng Wu,Scripps,,https://www.scripps.edu/pwu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jin-Quan Yu,Scripps,,http://www.scripps.edu/chem/yu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Justin Du Bois,Stanford,,https://duboislab.stanford.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Barry M. Trost,Stanford,,https://web.stanford.edu/group/bmtrost/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Paul Wender,Stanford,,https://web.stanford.edu/group/pawender/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Noah Burns,Stanford,,http://web.stanford.edu/group/burnslab/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Carolyn Bertozzi,Stanford,,https://bertozzigroup.stanford.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Dean Toste,UC Berkeley,,http://www.cchem.berkeley.edu/toste/index.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
