state,city,institute_carnegie_classification,school,primary_investigator,Position,website,research_interest,postdoc_wanted
Alabama,Auburn,R1,Auburn University,Bradley Merner,Associate Professor,https://www.mernergroup.com/,"target oriented synthesis,carbon nanotubes,synthetic organic",
Alabama,Tuscaloosa,R1,University of Alabama,Diana Leung,Associate Professor,,,
Alabama,Tuscaloosa,R1,University of Alabama,Elizabeth Papish,Professor,http://papishgroup.as.ua.edu/,"green chemistry,catalysis,light-activated ruthenium",
Alabama,Tuscaloosa,R1,University of Alabama,Kevin Shaughnessy,Professor,http://kshaughnessy.people.ua.edu/,"Metal catalyzed reaction development,mechanistic study,organometallic,synthetic organic",
Alabama,Tuscaloosa,R1,University of Alabama,Marco Bonizzoni,Associate Professor,http://bonizzoni.ua.edu/,"Pattern based recognition,molecular assembly,physical organic",
Alabama,Tuscaloosa,R1,University of Alabama,Michael Jennings,Associate Professor,https://chemistry.ua.edu/people/michael-p-jennings/,"Natural product synthesis,methods - enantioselective Wittig,synthetic organic",
Alabama,Auburn,R1,Auburn University,Ming Chen,Assistant Professor,http://www.auburn.edu/cosam/faculty/chemistry/chen/research/index.htm,"catalytic asymmetric reactions,achiral feedstock chemicals,synthetic organic",
Alabama,Birmingham,R1,University of Alabama - Birmingham,Pengfei Wang,Professor,http://scholars.uab.edu/display/wangp,synthetic organic,
Alabama,Auburn,R1,Auburn University,Rashad Karimov,Assistant Professor,https://karimovrashad.wixsite.com/website,"transition metal catalysis,synthetic organic",
Alabama,Birmingham,R1,University of Alabama - Birmingham,Sadanandan Velu,Associate Professor,http://scholars.uab.edu/display/svelu,synthetic organic,
Alabama,Tuscaloosa,R1,University of Alabama,Silas Blackstock,Professor,http://blackstock.people.ua.edu/,"Electron Transfer,Molecular Charge Storage,Redox-gradient dendrimers",
Alabama,Tuscaloosa,R1,University of Alabama,Stephen Woski,Associate Professor,,"non-natural nucleoside synthesis,molecular electornics,bioorganic",
Alabama,Auburn,R1,Auburn University,Stewart Schneller,Professor,http://wp.auburn.edu/schnest/,"antiviral drug design,synthetic organic,synthetic organic",
Alabama,Tuscaloosa,R1,University of Alabama,Timothy Snowden,Associate Professor,https://chemistry.ua.edu/people/timothy-s-snowden/,"synthetic methodology,natural product synthesis,synthetic organic",
Alabama,Tuscaloosa,R1,University of Alabama,Yinghui Liu,Assistant Professor,,,
Arizona,Tuscson,R1,University of Arizona,Dominic McGrath,Professor,https://cbc.arizona.edu/faculty/dominic-mcgrath,"solar energy conversion,macromolecular systems responsive to visibile light,nanoscopic systems,synthetic organic",
Arizona,Tuscson,R1,University of Arizona,Eugene Mash,Professor,https://cbc.arizona.edu/faculty/eugene-mash,"imaging and drug delivery,large bicyclic containing polymers,synthetic organic",
Arizona,Tempe,R1,Arizona State University,George Pettit,Regents Professor,,"Natural product synthesis,cancer chemotherapy",
Arizona,Tuscson,R1,University of Arizona,John Jewett,Associate Professor,https://sites.google.com/site/jcjewettlab/,"virology,dengue virus,bioorthogonal reaction development,synthetic organic",
Arizona,Tuscson,R1,University of Arizona,Jon Njardarson,Professor,https://njardarson.lab.arizona.edu/,"Natural product synthesis,anionic cascade reactions,ring expansion and dearomatization method development,synthetic organic",
Arizona,Tempe,R1,Arizona State University,Kyle Biegasiewicz,Assistant Professor,https://isearch.asu.edu/profile/3503942,"Bioinspired catalyst development,total synthesi,enzymes,synthetic organic",
Arizona,Tempe,R1,Arizona State University,Laura Ackerman,,https://isearch.asu.edu/profile/3509272,"Green synthesis,synthetic organic",
Arizona,Tuscson,R1,University of Arizona,Robin Polt,Professor,https://cbc.arizona.edu/faculty/robin-polt,"glycobiology,2D NMR techniques,synthetic organic",
Arkansas,Fayatteville,R1,University of Arkansas,Hudson Beyzavi,Assistant Professor,https://beyzavigroup.uark.edu/ca,"transition metal based catalysts,materials chemistry",
Arkansas,Fayatteville,R1,University of Arkansas,Maggie He,Assistant Professor,https://hegroup.uark.edu/,"Carbon naotube functionalization,sensor development",
Arkansas,Fayatteville,R1,University of Arkansas,Matt McIntosh,Professor,https://fulbright.uark.edu/departments/chemistry/directory/index/uid/mcintosh/name/Matt-McIntosh/,"total synthesis of natural products,sclerophytin A,massilenicellin I,antascomicin B,synthetic organic",
Arkansas,Fayatteville,R1,University of Arkansas,Nan Zheng,Associate Professor,http://www.zhenggroup.org,"green chemistry,nitrogen centered radicals,visible light photoredox,synthetic organic",
Arkansas,Fayatteville,R1,University of Arkansas,Neil T. Allison,Associate Professor,,organometallic,
Arkansas,Fayatteville,R1,University of Arkansas,Susanne Striegler,Professor,https://sstriegl.hosted.uark.edu/index.html,"glycosidase inhibtors,synthetic organic",
California,San Francisco,,University of California San Francisco,Adam Renslo,,,"targeted drug delivery,small molecule drug discovery",
California,Los Angeles,R1,University of California Los Angeles,Alexander Spokoyny,,,inorganic and organomimetic clusters,
California,Santa Barbara,R1,University of California Santa Barbara,Alison Butler,,,"bioinorganic,metallobiochemistry,biomimetic disassembly,wet adhesives",
California,Los Angeles,R1,University of California Los Angeles,Amber Reilly,,,,
California,Riverside,R1,University of California Riverside,Ana Bahamonde,,,"photochemistry,asymmetric catalysis,organometallic",
California,Davis,R1,University of California Davis,Annaliese Franz,Professor,http://chemgroups.ucdavis.edu/%7Efranz/,"organic synthesis,organosilicon chemistry,NMR spectroscopy,catalysis,biofuels,synthetic organic",
California,Los Angeles,R1,University of California Los Angeles,Anne Andrews,,,,
California,Santa Barbara,R1,University of California Santa Barbara,Armen Zakarian,,https://labs.chem.ucsb.edu/zakarian/armen/,"methods for asymmetric synthesis,total synthesis of natural products,catalysis,synthetic organic",
California,Santa Cruz,R1,University of California Santa Cruz,Bakthan Singaram,,http://singaram.chemistry.ucsc.edu/,"organoborane,natural products,biosensors,synthetic organic",
California,Los Angeles,R1,University of Southern California,Barry Thompson,,,"polymers,sustainability",
California,Stanford,R1,Stanford University,Barry M. Trost,,http://web.stanford.edu/group/bmtrost/,Methods,
California,Jupiter,,Scripps Reasearch Institute - Florida,Ben Shen,Professor,http://www.scripps.edu/shen/,"natural product biosyntheis,genome mining,bioorganic chemistry",
California,Merced,R2,University of California Merced,Benjamin Stokes,,https://www.benstokesgroup.org/,synthetic organic,
California,San Francisco,,University of California San Francisco,Bill DeGrado,,,macromolecular structure and function,
California,Pasadena,R1,California Institute of Technology,Brian Stoltz,Professor,http://www.stoltz.caltech.edu/,"Natural Product Total Synthesis and Methods,synthetic organic",
California,Santa Barbara,R1,University of California Santa Barbara,Bruce Lipshutz,,https://lipshutz.chem.ucsb.edu,"heterogenous catalysis,solid support,homogenous catalysis,asymmetric,nanotechnology,green chemistry,micellar,synthetic organic",
California,San Diego,R2,San Diego State University,Byron Purse,,,,
California,Stanford,R1,Stanford University,Carl Djerassi,,,,
California,Stanford,R1,Stanford University,Carolyn Bertozzi,Professor,https://bertozzigroup.stanford.edu/,"bioorthogonal chemistry,in vivo imaging of biomolecules,site specific protein modification,synthetic organic",
California,Stanford,R1,Stanford University,Chaitan Khosla,,https://web.stanford.edu/group/khosla/cgi-bin/,"polyketide synthase,biosynthesis of antibiotics",
California,Los Angeles,R1,University of Southern California,Chao Zhang,,,"small molecule modulators,chemical proteomics,structure based design",
California,Los Angeles,R1,University of Southern California,Charles McKenna,,,"organic synthesis,computer assisted design modeling,novel imaging agents",
California,La Jolla,,Scripps Reasearch Institute,Chi Huey Wong,Professor,http://www.scripps.edu/research/chem/faculty.html?name=wong,"biological glycosylation,glycoprotein synthesis,synthetic organic",
California,Irvine,R1,University of California Irvine,Christopher Vanderwal,,https://faculty.sites.uci.edu/cdv/,"total synthesis,synthetic organic",
California,Berkeley,R1,University of California Berkeley,Clayton Heathcock,,,,
California,Santa Barbara,R1,University of California Santa Barbara,Craig Hawker,,,"synthetic polymer,nanotechnology",
California,Los Angeles,R1,University of California Los Angeles,Craig Merlic,,,"natural product total synthesis,organometallic radical reactions for stereoselective synthesis",
California,Santa Cruz,R1,University of California Santa Cruz,Crews,,,"natural products - marine,bioorganic chemistry,NMR",
California,La Jolla,,Scripps Reasearch Institute,Dale Boger,Professor,http://www.scripps.edu/chem/boger/,"Natural product synthesis,hetero diels alder methodology,bioorganic chemistry,synthetic organic",
California,San Francisco,,University of California San Francisco,Danica Fujimori,,,enzymatic function,
California,,,City of Hope - hospital?,David Horne,,https://www.cityofhope.org/people/horne-david,"Natural Products,small molecule inhibtor,synthetic organic",
California,Davis,R1,University of California Davis,David Olson,Assistant Professor,https://www.olsonlab.org/,"chemical neuroscience,synthesis,synthetic organic",
California,Irvine,R1,University of California Irvine,David Van Vranken,,https://vanvranken.ps.uci.edu,synthetic organic,
California,Davis,R1,University of California Davis,Dean Tantillo,Professor,http://blueline.ucdavis.edu/,"theoretical organic,natural product biosynthesis",
California,Berkeley,R1,University of California Berkeley,Dean Toste,,http://www.cchem.berkeley.edu/toste/index.html,"natural product synthesis,organometallic,synthetic organic",
